MSTRG.22656	GO:0003824
MSTRG.8411	GO:0005515
MSTRG.8411	GO:0004672|GO:0006468
MSTRG.8411	GO:0004672|GO:0005524|GO:0006468
MSTRG.21304	GO:0003676
MSTRG.20404	GO:0004867
MSTRG.6265	GO:0004930|GO:0007186|GO:0016021
MSTRG.6265	GO:0004935|GO:0007186|GO:0016021
MSTRG.6265	GO:0016021
MSTRG.7364	GO:0005525
MSTRG.7364	GO:0003924|GO:0005525
MSTRG.4311	GO:0005515
MSTRG.12139	GO:0005515
MSTRG.7789	GO:0005515
MSTRG.20461	GO:0005525
MSTRG.20461	GO:0003924|GO:0005525
MSTRG.8764	GO:0008152|GO:0016627|GO:0055114
MSTRG.8764	GO:0016627|GO:0055114
MSTRG.8764	GO:0016627|GO:0050660|GO:0055114
MSTRG.8764	GO:0003997|GO:0005777|GO:0006635
MSTRG.8764	GO:0003997|GO:0005777|GO:0006631|GO:0071949
MSTRG.18508	GO:0003676
MSTRG.4987	GO:0004672|GO:0005524|GO:0006468
MSTRG.4987	GO:0004672|GO:0006468
